current_task,evaluated_task,accuracy,id_accuracy
0,0,0.978515625,1.0
1,0,0.9697265625,0.9861460957178841
1,1,0.91015625,0.9190101237345332
2,0,0.95703125,0.9697732997481109
2,1,0.89990234375,0.9077615298087739
2,2,0.87158203125,0.8684738955823293
3,0,0.95361328125,0.9571788413098237
3,1,0.90087890625,0.9077615298087739
3,2,0.8564453125,0.8614457831325302
3,3,0.96533203125,0.9683877766069547
4,0,0.94970703125,0.9483627204030227
4,1,0.8974609375,0.905511811023622
4,2,0.8564453125,0.8604417670682731
4,3,0.970703125,0.9757639620653319
4,4,0.96435546875,0.9570552147239264
5,0,0.9482421875,0.9445843828715366
5,1,0.89111328125,0.8976377952755905
5,2,0.8486328125,0.8554216867469879
5,3,0.96533203125,0.9704952581664911
5,4,0.966796875,0.9558282208588957
5,5,0.966796875,0.9770114942528736
6,0,0.95068359375,0.9483627204030227
6,1,0.88525390625,0.8931383577052868
6,2,0.83251953125,0.8323293172690763
6,3,0.95361328125,0.9610115911485775
6,4,0.96923828125,0.9631901840490797
6,5,0.970703125,0.979565772669221
6,6,0.9609375,0.9642058165548099
7,0,0.94189453125,0.9433249370277078
7,1,0.8896484375,0.8965129358830146
7,2,0.83642578125,0.8373493975903614
7,3,0.95703125,0.9631190727081138
7,4,0.96435546875,0.9582822085889571
7,5,0.962890625,0.9719029374201787
7,6,0.953125,0.9630872483221476
7,7,0.970703125,0.979706877113867
8,0,0.94091796875,0.9408060453400504
8,1,0.88525390625,0.8886389201349831
8,2,0.84228515625,0.8433734939759037
8,3,0.962890625,0.9704952581664911
8,4,0.9609375,0.947239263803681
8,5,0.958984375,0.9693486590038314
8,6,0.95068359375,0.9608501118568232
8,7,0.9697265625,0.9740698985343855
8,8,0.95654296875,0.9540942928039702
9,0,0.9296875,0.9256926952141058
9,1,0.880859375,0.8852643419572553
9,2,0.84228515625,0.8433734939759037
9,3,0.9599609375,0.9662802950474183
9,4,0.95947265625,0.9533742331288344
9,5,0.9501953125,0.9629629629629629
9,6,0.94970703125,0.9586129753914989
9,7,0.96142578125,0.9695603156708005
9,8,0.96044921875,0.9602977667493796
9,9,0.94287109375,0.9308996088657105
